"Date","Number Slaughtered ;  CATTLE (excl. calves) ;  Total (State) ;...2","Number Slaughtered ;  CATTLE (excl. calves) ;  New South Wales ;...3","Number Slaughtered ;  CATTLE (excl. calves) ;  Victoria ;...4","Number Slaughtered ;  CATTLE (excl. calves) ;  Queensland ;...5","Number Slaughtered ;  CATTLE (excl. calves) ;  South Australia ;...6","Number Slaughtered ;  CATTLE (excl. calves) ;  Western Australia ;...7","Number Slaughtered ;  CATTLE (excl. calves) ;  Tasmania ;...8","Number Slaughtered ;  CATTLE (excl. calves) ;  Northern Territory ;","Number Slaughtered ;  CATTLE (excl. calves) ;  Australian Capital Territory ;"
1996-03-01,"1733.9","510.4","426.8","516.9","105.5","109.7","51.9","1.9","10.7"
1996-06-01,"1763.5","515","360.7","647.29999999999995","79.5","83.1","52.2","14.6","11.1"
1996-09-01,"1682","469","360.8","632.70000000000005","71.900000000000006","87.1","34.299999999999997","26.4","0"
1996-12-01,"1717.9","494.9","416.6","526.70000000000005","99.4","121.1","51.3","7.9","0"
1997-03-01,"1786.2","507.9","438.8","577.5","93.7","110.8","56.3","1.2","0"
1997-06-01,"2084.4","568.5","459.7","781.1","103.7","87.8","60.6","23","0"
1997-09-01,"2056.6999999999998","542.20000000000005","410","845.6","89.6","101","41.8","26.5","0"
1997-12-01,"1941.1","524.4","451.9","681.9","98.5","122.9","52.3","9.3000000000000007","0"
1998-03-01,"1945.3","519.70000000000005","484.1","663","95.8","122.5","58.9","1.3","0"
1998-06-01,"2108.6","552.29999999999995","452.1","824","88.5","101.7","64.099999999999994","25.9","0"
1998-09-01,"2050.9","493.7","421","879.5","70","105.7","44.8","36.200000000000003","0"
1998-12-01,"2000.6","472.4","481.4","779.3","76.900000000000006","132.30000000000001","50.4","8","0"
1999-03-01,"1940.3","482.7","460.1","769.2","66.099999999999994","106.9","53.9","1.4","0"
1999-06-01,"1947.3","445.7","388.7","879","64.900000000000006","93.9","62","13.1","0"
1999-09-01,"1918.8","438","354.6","892.1","72","96.1","47.7","18.2","0"
1999-12-01,"1846.6","424.6","389.3","789.5","75","112","51.6","4.5","0"
2000-03-01,"1806.3","434.9","400.9","729.5","85.3","95.1","59.2","1.3","0"
2000-06-01,"1948.3","427.3","378.9","901.4","82.3","90.6","59.4","8.4","0"
2000-09-01,"1993.1","446.7","358","972","70.8","100.5","33.6","11.6","0"
2000-12-01,"1954.6","433","394.3","880.1","82.6","118.6","44.7","1.4","0"
2001-03-01,"1913","463.3","409.5","795.7","87.9","98.6","56.6","1.4","0"
